ἄγε	ἄγω
νότος	πότος
νοῦς	χοῦς
ὄνος	ὄξος
ὄνος	ὄρος
ὄξος	ὄρος
ὄφελον	ὄφελος
ὄφις	ὄψις
ὀλίγος	ὀλίγως
ὀνάριον	ὀψάριον
ὅδε	ὅτε
ὅλος	ὅλως
ὅλος	ὅσος
ὅλως	ὅμως
ὅλως	ὅπως
ὅμως	ὅπως
ὅτε	ὅτι
οἶκος	οἶνος
οἰκοδόμος	οἰκονόμος
οἰκοδομέω	οἰκονομέω
οὖν	οὖς
οὐαί	οὐχί
πάγος	πάθος
πάγος	πάφος
πάγος	φάγος
πάθος	πάφος
πάλη	πύλη
πάροικος	πάροινος
πάσχα	πάσχω
πάφος	τάφος
πᾶς	πῶς
παίζω	πρίζω
παίω	παύω
παλαιός	παλαιόω
παρά	πυρά
παρά	χαρά
παροικία	παροιμία
παύω	πτύω
παῦλος	σαῦλος
παῦλος	φαῦλος
πέραν	πέρας
πέρας	τέρας
πεινάω	πειράω
περισσότερον	περισσότερος
περιτρέπω	περιτρέχω
πήρα	χήρα
πίμπλημι	πίμπρημι
πίνω	τίνω
πιάζω	πιέζω
πλάνος	πλάτος
πλάσσω	πλήσσω
πλάσσω	πράσσω
πλέω	πνέω
πόλις	πόσις
πόνος	πόσος
πόνος	πότος
πόνος	φόνος
πόσις	πόσος
πόσος	πότος
πότε	τότε
ποταμός	ποταπός
πού	ποῦ
πράσσω	φράσσω
πρίζω	τρίζω
προσπήγνυμι	προσρήγνυμι
πρῶτον	πρῶτος
πύργος	πύρρος
πύρωσις	πώρωσις
πώς	πῶς
πῶς	φῶς
ῥακά	ῥαμά
ῥύμη	ῥώμη
σάλος	σάμος
σαῦλος	στῦλος
σαῦλος	φαῦλος
σήθ	σήμ
σήθ	σής
σήμ	σής
σής	σός
σίμων	τίμων
σιών	χιών
σολομών	σολομῶν
σορός	σοφός
σορός	χορός
σπεῖρα	στεῖρα
στάδιον	στάδιος
σταυρός	σταυρόω
στέγη	στέγω
στερεός	στερεόω
στολή	σχολή
σύρος	τύρος
συγγενής	συγγενίς
συζάω	συλάω
τάφος	τάχος
ταπεινός	ταπεινόω
τεῖχος	τοῖχος
τίμιος	τίτιος
τίτιος	τίτλος
τόκος	τόπος
τόπος	τύπος
τοιοῦτος	τοσοῦτος
τρέμω	τρέφω
τρέμω	τρέχω
τρέφω	τρέχω
τρῆμα	χρῆμα
τρίβος	τρίτος
τρίτον	τρίτος
τρόμος	τρόπος
τροπή	τροφή
τροφή	τρυφή
τροφός	τροχός
τρυγάω	τρυφάω
τύπος	τύρος
τυφλός	τυφλόω
τυχικός	ψυχικός
ὕμνος	ὕπνος
ὕστερον	ὕστερος
ὑποπλέω	ὑποπνέω
φάρμακον	φάρμακος
φάσις	φύσις
φανερός	φανερόω
φθονέω	φρονέω
φίλιπποι	φίλιππος
φόβος	φόνος
φόβος	φόρος
φόνος	φόρος
φόρον	φόρος
φοῖνιξ	χοῖνιξ
φονεύς	φονεύω
φράσσω	φρίσσω
φυγή	φυλή
χάριν	χάρις
χαλάω	χολάω
χήρα	χώρα
χρηστός	χριστός
χρυσός	χρυσόω
